generated_index,hash,matched_split,matched_dataset_indices,num_dataset_matches
882,bc7db1bf15afe9b52f4f0cee0707e42ddd93509e,train,84472,1
899,b8d74440cde636d90eff3f5314c846071353db49,train,83611,1
912,d5e7c13c60cc9b658ab177a20a0589433c97887a,train,60756 60758,2
978,40b5d4071daf6aaa3f5fdb89e8e81da7a050990f,train,53670,1
991,4074ed6fbed0cf15aa53b32c3c9e10b52c88d0fc,train,80774,1
1012,59fa4c35595f9873fef5ec3ab00dfb653e973883,train,27379,1
1032,7d6aa509d6567d3733ef7a0a9f705c9b2c5f4b5e,train,26807,1
1061,18c2377a86584540330ed7f85b014a6e0161a4bf,train,39022,1
1064,a687505ca720f6a15b8d42e1acfc0dd92685b2df,train,32389,1
1106,3fae7edc3fe9e25d93af6bf9bb9ebbb918d28170,train,54068 54070,2
1112,b38e11a5016a718974fd40c9f27425d208606ce4,train,64458,1
1131,c60cd7598708bf7fbf13a0a5f49215e6416492c0,train,30203,1
1145,fa60d0a61cbe86ee46771e093f502a86a58e7650,train,51741,1
1161,62c6a938e7e02127b5af911303327253a9e4089d,train,80660 80662,2
1224,f5c36036813267cbc840d222e25ba20d33b2ed25,train,62868 62870,2
1235,2121ab418b9833b6962a0ba91f73049346b30986,train,19260,1
1254,3c39daf39ac34dcca75be54ab853be7d5303b30d,train,74649,1
1270,bc9793d4f66cee6d87fdcff0bb87436b41e8ad42,train,32748,1
1319,6b84298d48073aa16259bebf4cdd1eeabcfd91fb,train,6580 6582,2
1351,84c10dd2e7a8cefd5b93ef2c298913a6b4d95090,train,27584 27591,2
1364,7598376f7a916de2806aefc2da2c45faddf23cd1,train,77720,1
1370,58a569c2eb213280b3bfa70fdf53a6380aaaf802,train,36677,1
1451,8f05eae2c0ae367b31d77e0bd82c543786e82c7b,train,1378,1
1501,c4530f2c51ec63763f868760363761c5072ed31f,train,60422,1
1575,765b8cbe33d15e2db0af61aa7ae30d25e0046163,train,41740 41742,2
1580,d8fab6dab8caffa8219ed353676e510f80a476e2,train,52394,1
1599,7e52fcd1d0aa0fa74f9410875ba88be34e7eacd3,train,82132 82134,2
1630,4d02966b942e38bb07e146bcba8e7a2cd839371d,train,81252 81254,2
1654,7dcb6879c1c400c3a2287a0b7c1097d26b4468b2,train,37346,1
1670,dc66118430cea880af260d94414145452d897795,train,62124 62126,2
1697,610e8b70c2252c054d167efefa0d9e81026a1edf,train,65205,1
1708,880e8677a9ed4d8ea424fe920336f3c8cfd78c8d,train,44531,1
1763,8c7ed4f8f05ce67f98937e60fddf3ae764a37c5b,train,48068 48070,2
1805,1bc1a22a2b9220ff6fc8f414f886a4c0dda57a1f,train,14641,1
1812,da049d6555c94702597df4a71fa2662ade3cfafe,train,81531,1
1817,9680546379c89a32ffd1b2c4511a800b1cf19037,train,37773,1
1824,bd2503239cfd5620d6c21d1cb00cdadeff9c91b6,train,71355,1
1844,631feb4f75d756fcbde3756fba2cc836795a165b,train,49228,1
1847,ad0797243ec2cd09dffdac2074681159a974f02f,train,7739,1
1894,bd2503239cfd5620d6c21d1cb00cdadeff9c91b6,train,71355,1
1946,fc8d26a2d141150ee45a240e1fec503981311731,train,80773,1
1994,7279b2b639a0e77198b96a34e0b73177ccbf9a87,train,81660 81662,2
2032,2a1899731416a97fe36b52004443aaa17baca039,train,68612,1
2040,c5a5c41f46e46fc2ea0e5aa08ac21f1f4f1e6f94,train,2795,1
2061,f79ed1452cd728e47ac47d648a6f46baf2b769a3,train,87144,1
2063,c9163c05bb029b94932f56b6ae2263e919e463fc,train,35204 35206,2
