index,status,score,reasons,opaque_ratio,edge_density,bbox_w,bbox_h,bbox_area,center_x,center_y,bbox_x0,bbox_y0,largest_component_ratio,component_count,token_entropy,unique_opaque_tokens
1558,keep,2.14598097,,0.21972656,0.17288306,0.37500000,0.78125000,0.29296875,0.47455197,0.57189964,0.29032258,0.19354839,1.00000000,1.00000000,3.11057571,11.00000000
1559,keep,4.97490514,,0.19531250,0.14868952,0.37500000,0.75000000,0.28125000,0.49096774,0.55129032,0.32258065,0.19354839,1.00000000,1.00000000,2.88305223,12.00000000
1560,keep,4.29933117,,0.21386719,0.14969758,0.40625000,0.81250000,0.33007812,0.48828988,0.57593165,0.29032258,0.19354839,0.99543379,2.00000000,2.86028225,12.00000000
1561,keep,1.07503206,,0.24023438,0.17893145,0.37500000,0.87500000,0.32812500,0.50550747,0.56713874,0.32258065,0.12903226,1.00000000,1.00000000,2.77358128,13.00000000
1562,review,16.13365370,,0.32910156,0.27268145,0.78125000,0.87500000,0.68359375,0.49267732,0.57231741,0.09677419,0.12903226,1.00000000,1.00000000,3.16465815,13.00000000
1563,keep,2.79254984,,0.22167969,0.17086694,0.40625000,0.78125000,0.31738281,0.46482876,0.59940315,0.25806452,0.22580645,1.00000000,1.00000000,2.83648071,12.00000000
1564,keep,4.38660241,,0.20898438,0.16330645,0.37500000,0.81250000,0.30468750,0.46608381,0.53225806,0.29032258,0.12903226,1.00000000,1.00000000,3.08199175,14.00000000
1565,keep,1.33184684,,0.22753906,0.18195565,0.37500000,0.81250000,0.30468750,0.50477641,0.58230652,0.32258065,0.19354839,1.00000000,1.00000000,3.15868657,13.00000000
1566,keep,3.41417492,,0.20800781,0.16381048,0.34375000,0.78125000,0.26855469,0.48568832,0.56913524,0.32258065,0.19354839,1.00000000,1.00000000,2.60123454,10.00000000
1567,keep,7.35041744,,0.29394531,0.22731855,0.46875000,0.81250000,0.38085938,0.48933662,0.59972136,0.25806452,0.19354839,1.00000000,1.00000000,3.21955753,12.00000000
1568,keep,11.45045063,,0.27050781,0.21118952,0.59375000,0.87500000,0.51953125,0.49039245,0.60510073,0.19354839,0.12903226,0.98555957,3.00000000,3.04044468,12.00000000
1569,keep,3.12715744,,0.25000000,0.19959677,0.46875000,0.75000000,0.35156250,0.49432964,0.59727823,0.25806452,0.22580645,1.00000000,1.00000000,2.92355370,11.00000000
