generated_index,hash,matched_split,matched_dataset_indices,num_dataset_matches
227,444ff522502d3229eb624533fca9b3f9f2076d15,train,79689,1
229,9fc67e2b13198bdb2a9e8b0d8a5931909f548731,train,1051,1
230,89274a1e8fba7268af440189329c0f39095d6017,train,19083,1
231,ff18703833f6ffb34aca95f33a758233ee9f3ea4,train,38364 38366,2
232,929f724c36fb24fb347cd0ab38a6a96a9cf8f4b9,train,60442,1
233,b01b3d68ba63f38f05b4802aca4b87af2a795ae8,train,33916 33918,2
235,4b44c0fc9fe46df0eda9773242e2b1cb25647c10,train,1785,1
237,402e6463a53f258b4b62f8dc76a563635ea86e0e,train,41016 55616 55623,3
238,e2affbcdbb5deb2fe270ca067598fc77c7422e5b,train,57738,1
239,170785aeae5f0b0fd16b9d97b0779877c55ff992,train,49068 49070,2
241,eec5b45bb8340c13295bf8781751a9bd33eee780,train,61424 61431,2
242,836234b8266d69cc29983769f822c2f01b6cfd27,train,55250,1
243,88eb8db5d8f1b8d08de35eeb0dd8133d215ac188,train,50720,1
244,faabf3a40e6d29fb2d4ee945b6e20b26e9e0ce4b,train,12487,1
245,db1944924644b0ca1f8ed9b6d3b2080b029890fe,train,86772 86774,2
248,f2ccf283a977255642d165fce783a67a065d0d7a,train,72161,1
249,8d84abdc879d8f613e045cbf6d3262bced275b70,train,60411,1
251,5de0b58dc029744bca0f0e57db54aef1a23c6060,train,21816 31304 31311,3
253,1c019bbd6f7fcd6ee1b2df9bee577d13ee8d1498,train,41400,1
255,4319c82a2705aea637549fa23528e5a910f6014b,train,8977,1
257,67eeca0578b6855b5002b0ca5b51494a3cab3108,train,92545,1
259,9396b4b0634054d06c8aa032b08604a5d457a2a0,train,60799,1
260,1cd1ad370d27158582c5bd0b580ca2f0a6ee0b22,train,90523,1
262,d69552c58fb403d4eefaf35cbbc3fd564559aaa6,train,30207,1
263,f9823b986851ade73e809e4e4e218e4fd66a1b5e,train,44981,1
264,c1bdcebcf9bff27b676e159d91a438ce74c58435,train,41218,1
265,57c5de0e981360855e3a367e26707eef564663e2,train,82670,1
266,a0d9894ab71e4346ff3cc206e652d4d1ce5c20f4,train,73182,1
267,88303ef6c7e5e24860c81a6edd7ce4267abaeb43,train,38451,1
268,de5ad213b02598d38835e12256ef88c8bcd0f1e4,train,92952 92959,2
270,a0af45883aaa587f6c7eaf874016845f8fd2e3c6,train,48887,1
271,c23bcd583c6b5e1d0046aff8771022071b31f313,train,36607,1
272,d9be0d8851081bd4e955fc942459df5bc3a647eb,train,65145,1
273,a4c43690900009512814715f286087bca836beee,train,66946,1
274,8592ab9270f28fe1dcf931d2e279b12166386c82,train,17970,1
275,0490b9225322bbd00ec6c3ccc6aac70eb008bc3c,train,71946,1
276,9203d5bd1e3edbab2669a04677317b52b7283e5c,train,62786,1
277,e918490441b85d148711e07081dca058deef2f4f,train,91979,1
278,afd118d21940e120c7860fcf489b5b82454abdd8,train,25802,1
279,b8d9094c6d07c57bfec779a82e19bd1f3bbd509e,train,87400 87407,2
280,6f3be40eb44214adb35944b3edede3abc814b75b,train,31586,1
282,afe0eb08ae0aa29b7dfc45274735d93f3098810f,train,80264,1
283,54faf009b6b68acdb18357488967a5df2a237dae,train,70377,1
284,d73894e0148994491c8957d35169aae8580208e1,train,92123,1
285,6a23617316e2f4519b34c598139eef8ecdaecd76,train,70688 70695,2
286,696641dcdfeff5aeb6019e9fc67b74e40a77d21a,train,51148 51150,2
287,717e190ae2f80d8a66874ea8a879a7159d1657cf,train,77798,1
288,855fbd036e826547e96df43c3029c8715f742fcb,train,43483,1
290,7cea2d5cc892093cd2b2faccafdfad7dfb808094,train,36603,1
293,ca21b44645c47b79f9c66529a37b58232493d321,train,83969,1
297,089fa11c95835fd33b557adb0d591cb04b5cf477,train,19698,1
298,781996f414d51f439ed46f5caf5b16e2dfcfc250,train,51088,1
299,cb26dceed9bd48b6fb24a87902411913cfc70e17,train,11902,1
300,a7a90a34cdc030ecaef1ad46eb5701a63a5a6c8d,train,39976,1
301,b1867616f00e1e05035d0ed882988b3606bcc624,train,53473,1
302,0977f4db0433aa223fd8d9566b39d96891b7f52c,train,12405,1
303,641f59e08b7159f60d630801416847c5a6e54b87,train,22515,1
304,3c31365256f5e43452d6cc7993604658969d9cec,train,54786,1
305,e7024a3554035376cd0c45b2f5d21791757be7da,train,22565,1
307,b66a98974a44c767f406c02368145bd0216d4e51,train,77747,1
309,044fc01d5416d4f92ed900a25913278d2319ab61,train,43993,1
310,3be5575b90f27d05e35cda8f48a53848a6ea143c,train,87313,1
311,542966e04bff517c6c99b3bbd4ab366164b8038b,train,1160 82744 82751,3
313,8c57b771955978fe616ab26ab58b30b18693207d,train,69344 69351,2
314,95b7a4bd10a2ef5572695a42583738d65f550c8f,train,40644 40646,2
316,66199c63d47391100e22b596d9fbcb806f7d93a4,train,74506,1
317,7e88d5c7b573c2faae7adc6fbdc48e1b192a07f4,train,71064 71071 72208,3
318,3f91e9f1bf7022c80a9b5186ae6aa623ceef7d3a,train,41498,1
319,866d99ad07bf0cea187a0ab12fce931c4a808513,train,69224,1
320,4d24645bf5e075cc70c579d6463e5f44596d6ece,train,90936,1
321,f4f41c9efa5416ede8c306254466febd3b3c1434,train,7983,1
322,3b6e29b7801014c59be11d6fb89896151ba9ace1,train,4892,1
323,f2dbe38d32005b7237b90a7de5e4269533df6adc,train,2052 2054,2
324,c0c962424ee85a016bfd8188617da6e3e3638b50,train,9460,1
325,85ff5507d35bb45aab9cca5a96fe1445a4b1ffe7,train,17345,1
326,9d3c4e682105639b8e6579ff9829de56b423a162,train,22073,1
327,e4688cd1df40914185a5a13b7b5a1bb1ed03910d,train,2859,1
328,b56e49166a58325e91aecf507151d9696c0acc31,train,78450,1
329,46e52872cd8e7ca6280195dd0bdefca002344f29,train,74580,1
330,a3b8d44c40f9e79be33ceb9bd90f5f9f06269472,train,57064 57071,2
331,e20dc0ee655fe4ee89e5a09dfd04dfd86db4bf7e,train,25856,1
333,4b10c5f0940d91fce2060c0c940f072c4e04990d,train,21763,1
334,9f6dd9bb458c9fbd8bc080d0496e0bee6f6a3c04,train,74566,1
336,cc8a9a73b0c046fbc5776177bed3303dd39734a9,train,13679,1
337,c4b371cbe8ddd2558ad2f323b97aead4fa5e9f3e,train,30497,1
338,acfa1f6f2132390b44dd6b2be8650460459f69b6,train,56928 56935 80032,3
340,4d2a2d33e358039ab3e49b820311049374c41aa0,train,63923,1
341,0eadb03eee3fe3b321a5eb77461e4403b08822ec,train,60204,1
343,3bc801d59dbe6c52de239e078bd6d242ca6ebdbb,train,79055,1
345,fd1d68ffe91c6d6f75946281f61745cd475dcaac,train,48524 48526,2
346,3bad514ce20d82abe0ea50c194a8a87bbae35966,train,83977,1
347,88d5030f8e5bfadc7812c04b077b995e3c23eb0a,train,22112 22119 35568,3
349,a6f56f4346be54064acc60050e3dfe93267b0ab4,train,37010,1
351,8a94ff51a7c24507d56655972c240966d1b8449c,train,18580 18582,2
353,54bbeb62d90267829ce1d167b3834ce64878d180,train,40751,1
354,62b683b5402bdd5464ca791955b8a7cd306a55e9,train,74257,1
355,a857dcc1fba73e95d9d12fe9efd77e82099fba12,train,54675,1
356,505c63e6b3f49ce7358148340e3d13bea6334a06,train,29972 29974,2
357,36c9a340333b8064f6c3cfc5043b12a415a8615c,train,32852 32854,2
358,1ba08dd4a6d43e9446d2044f1c59693a79735ce6,train,9516 9518,2
359,b10e08dac930f2ee24c465c7408f154541fa8754,train,49724 49726,2
360,09c70217d046c78bdda82a3c2a4e3c68b360a8ed,train,69900 69902,2
362,b35111eea3d2003100bc8fc44d5cd9001502afec,train,64171,1
363,e9e55ee8884b9137ccba64957d0b765f5c075473,train,43243,1
364,35f7d7e3217a86cad17c5dc058facad1784df7ac,train,25276,1
365,2f56f562252f12af6d4f088d33c10c414c2fe338,train,6973,1
366,97b29d2e2dc2d0b1d7df1d94d523a55ae3834628,train,16861,1
367,9d74ac7de41871cf50f97536779a2ca00ae95bda,train,78500 78502,2
368,66cc8a124bedfd69e9259939b95eb2c94fbbc9ce,train,87823,1
369,52dd3fac3bd3ac310aae48d6c17b85fd8cdf38c9,train,13814,1
370,52e6bc0919b22f83881c48f80246c8d39a0de403,train,29273,1
371,c0ac8be33cdda4a34e4ef8f236def832e7bcdffe,train,63354,1
372,d00ba2dfcd981192e50c9f719a0ec32cb32d887c,train,17155,1
373,b2fbdc77bc50fc4949f63a9c6d16ad6b4be32c4c,train,15148,1
374,d85e532485c795946bb53235d5079a55d5c728bc,train,7145,1
375,4d500953eb7073a770b1591b1c163ce2a43e3856,train,87553,1
376,1ed4510424e7d55a70e291581c7098e60dddd760,train,21928 21935,2
377,affb2d20229b2a59bec3a89d7457657bcd9d5392,train,67559,1
378,2f77fd6ed4cd07551578dcafc1820ae151bab5c1,train,11168 11175,2
379,5302d49f5b63163aa0f8dd7a11eee61e47d0bd39,train,68632 68639,2
381,cfd4593b9d0e1fc9b276d67ea8e475e91ee836ed,train,13399,1
382,029ecdcb48a04e3b47e7503d386b985fea0708c2,train,83292 83294,2
383,e1774167cfae28ce3b74cd5fda2fddd43bbdaf59,train,27924,1
384,3e687f116095f511d5d80f800c6dadc5ffb09256,train,81087,1
385,24fb95de808476976514d31a8a3c84721f89f8aa,train,81410,1
386,ea256a0af9389a394a6acd65b875252cc8d134c9,train,21650,1
387,3242e57c38808411eae45e33eb906488697f99bf,train,74023,1
388,7452ab93536217ced2ec60164e2979c25200c307,train,85228,1
389,fe3e8144dc75ec02dd139e1e33a41f5362c6171c,train,19322,1
390,ad6cebb134ec563c50d504f023f7ab9e6f588c71,train,38002,1
391,deb570a879beaec10a591c049f3b1f1527e10a0e,train,8745,1
392,6082e74eaff2e7f1bd9dd5ae4958ea1c3d624eb2,train,91696 91703,2
396,529f726bbad18a351312931d6d3996c52576614b,train,75437,1
397,d4777c44c54a1579d985273b10e3b51f317ad019,train,46829,1
398,293a5f222c9b903c59c20a09ff1677fce4295ecc,train,48869,1
