generated_index,hash,matched_split,matched_dataset_indices,num_dataset_matches
2851,3f5837c6cc0640344a3b97a6e69ec8caec7acabf,train,21683,1
2854,397404aa22110e2bdc0fcc4dab19293b310d577e,train,26228 26230,2
2866,45aaf146ec9fe6fd2afc3763ae8d9e401eafa2cb,train,26647,1
2986,46ec6911ec69b449b739ead9648e9168fdfcc1d7,train,14901,1
2996,96d3295b4cc530aa36e7cbe29090f38ecf38d99a,train,43365,1
3024,2d132702a0c2510956bc52c570d8ef529e0b9639,train,78170,1
3102,4ea4f8052031b48c5b210532b25be360d032ed37,train,74642,1
3112,945791706785fda97f1174101fd97486cf168115,train,8802,1
3122,7fc6093b295d7fae9397ace80d7885efcd403ce9,train,35644 35646,2
3148,c640cf0b3c836ab12cd2e47252093da973e578e1,train,22236,1
3173,f19157b61b1f07ab81bad5f45c4840ed8c43c22a,train,46014,1
3220,6668ffd04acdd98de9c7f93564d29173e0c59a44,train,42919,1
3224,be9d17451d842663d3f85e61b5a09d11388c0866,train,89673,1
3266,98cea9e4e3f97db4de876774d98503d2c808f475,train,31122,1
3286,e52f37d7b7aa4034b39bceffa0ca598129266564,train,67583,1
3312,7e623460bde39bd077c5262efa174b32f88cec41,train,47307,1
3325,6f8544e51a3d45b4f52aa5bd711a245c7d557d4d,train,61891,1
3348,e00ce73fb71658b515061334cf31d4864dc399c2,train,78097,1
3359,6ffe49f051894296089a48cb7213d006de513101,train,59086,1
3369,4fb84029ac2ff68ea87df5f1710a647dbbb188db,train,77372,1
3386,86bfa7255169c62100d0ac5ae86076f6cbc9e17b,train,29324 29326,2
3403,ab905e13cf53baf4dd3d922657dc91c6729061bf,train,86492 86494,2
3404,c066ef74ab5235180b0e5ea90e1d0c59d74ade38,train,74159,1
3405,ef0764480cbb314448da09c1d4c4fd8e59cb0729,train,39627,1
3415,256fd84e979dba7f9a9093e90f5d1314034017d1,train,52164 52166,2
3440,a46a54111e30fe82d2be9d23d0c68b4a8092bc4f,train,41532 41534,2
3484,ec896a062aa6676ebc8512a32b8416d5286ec89d,train,91041,1
3537,fba60963b53945075065ab2dde003c590b1c608e,train,52589,1
3573,43c125f642741e5985896fd45b354468e81890ba,train,25613,1
3590,b5f2191c3c47a1dbebf527a148e6eecd3624b05b,train,59180 59182,2
3631,c0cd11f2fb32a8e91d85f2b7566f1e78cdf95166,train,8211,1
3643,c15cb1c1d07c36a9f225848cf9ff7f2814cd5404,train,73723,1
3663,db3e4fe8640d6ac580b319055d783655cc6b92e5,train,62439,1
3679,0530b83f5e30212b1da3179afc21e8293fafae41,train,17907,1
3690,bad22b223faeec4255a0d00f6a999a9d7ebb0291,train,13476 13478,2
3755,6a451c5c199359c5f87af1e06f04102f09db84cb,train,60772,1
3808,308d491409746c03f1c4e5a752ae87c40301506f,train,29020 29022,2
3810,7eb08e8d0b93bfbed537a2e8c5ab66d14c4e6742,train,16797,1
3852,8d453e0ed5435ba69b6380dd56dbfdc68dc578ba,train,22828 22830,2
3860,f8c2ecf42025765894bdb1d6b8143b70d56ab6a6,train,53517,1
3875,43a85a204e0c1edb5939eb02925cc55691514f1e,train,30985,1
3885,aa7c35c2f81ad94076bbe9bc1209b9c3078bfdac,train,13534,1
3925,93bfafb4c3fc36fe4f4ad662f2c8f2c8efc6d297,train,81843,1
3932,46a32666dd065992126f34974a596b6c58018f1b,train,45876 45878,2
3950,0865ac784faf19dfd14531d994e33591374c396d,train,37839,1
3954,10af15f3bb069a0a6b48a1a0d68e2da18b2fc83d,train,12547,1
194,f7754b79d04f6919200c5a60cd6795ad3e16c906,val,18029,1
708,b4758eef4325503cc9c9ab95c25105cd0ef055ab,val,29624,1
1038,ed8f062c59ed8976f29ae5e6be4ed53652f1bc34,val,58123,1
1306,3f7dc7a4c313154eebd76fd549e71736581dc9b5,val,55628 55630,2
1591,31c81297e7cf74ee8ae27c1becc59765bc67dad8,val,59746,1
1843,f90fa3bc62a9c31d719a68fa100e58b5695f4640,val,32993,1
1907,ebae7d4e524276d03a564243b468846cb534d04f,val,57318,1
2021,7ceab4214681dc2c3773d2d52e01559e571846a3,val,26787,1
2398,cf97f426a4ed7035f3561a49e4b3d5ea92786628,val,67773,1
2679,a6af72640282fcef67b40502a4ae171e6b58afdc,val,29172,1
2680,93de0a888292d3eccb2219bf260c3830f7a6f377,val,67771,1
3536,4b4c8837eb91d6eb63c6e8be73b1b5a1d9fb889e,val,11863,1
3669,f97599b2a8e0f2b5bc6467a77c4d55c386d168d9,val,34643,1
47,ab4015e370409062bb4918a8a6a6698cc75b337e,test,9770,1
239,49b0057890c9780be0bb9aaf691b62d3ab3b8dd4,test,65765,1
285,962e01f85c4b16d814d2e322c9163dfe137b5016,test,6675,1
549,8520a49fc4b7827519126594026df940654a2a2b,test,853,1
698,110861b43c66a1314da426034c6384e424b3ae04,test,10985,1
1868,d27c95af5b872526a1b90ad70fa1ab154d778497,test,4388 4390,2
1979,4657afaedf0c2fd58c627b14ea7876958dd9a863,test,27055,1
2467,f635241cfadeefbba5b534c21fd4a447244f12a9,test,58871,1
2930,37c130b6e7e94b936c56ee3c3a1273c5bb173c6d,test,38180 38182,2
3135,29f79c84dd69e0a6f5eb79825e2496e7d9ed4817,test,7861,1
3392,505ea0d1a1906470e9f5f87d32ee7b6323551789,test,60364 60366,2
